bib,
1.22108, 1.25046, 1.22238, 1.22605, 1.21828,
1.1879, 1.33877, 1.20847, 1.1019,
1.16174, 1.55636, 1.37716,
2.19227, 1.85862,
1.09921,
obj2,
1.07703, 1.24359, 1.32955, 1.36813, 1.36661, 1.34986, 1.32302, 1.42946, 1.4119,
1.11038, 1.27504, 1.35369, 1.38201, 1.37406, 1.35155, 1.32267, 1.29435,
1.13839, 0.95947, 0.956579, 0.951349, 0.946954, 0.943458, 0.940367,
1.2023, 1.27021, 1.30783, 1.30705, 1.28792, 1.26405,
1.20726, 1.23641, 1.20214, 1.1896, 1.17075,
1.14222, 1.14229, 1.10988, 1.07092,
1.05073, 1.04007, 1.01898,
2.13323, 1.73657,
0.944659,
paper1,
0.992073, 1.03597, 1.05486, 1.05289, 1.04346, 1.03104, 1.01682, 1.09911, 1.09426,
1.01317, 1.05968, 1.07651, 1.07268, 1.06016, 1.04592, 1.03116, 1.01662,
1.0209, 1.06184, 1.07386, 1.06704, 1.05414, 1.04008, 1.0261,
1.13211, 1.04387, 1.04041, 1.03002, 1.01755, 1.00818,
1.29305, 1.17382, 1.05565, 1.04362, 1.0309,
1.12865, 1.07244, 1.01415, 0.96012,
1.06803, 1.03141, 0.994665,
0.989841, 0.972249,
0.928544,
paper2,
0.993068, 1.02538, 1.0304, 1.02077, 1.00626, 0.991475, 0.976985, 1.06564, 1.06127,
1.00803, 1.0211, 1.01591, 1.00236, 0.988187, 0.974219, 0.960556, 0.947312,
1.01587, 1.04369, 1.04699, 1.03635, 1.02292, 1.00897, 0.995388,
1.09842, 1.02573, 1.02361, 1.01337, 1.00187, 0.990366,
1.30571, 1.18388, 1.06285, 1.04764, 1.03214,
1.13825, 1.07075, 1.00504, 0.947675,
1.07132, 1.03016, 0.990084,
0.982456, 0.965019,
0.916584,
paper3,
0.986447, 1.0163, 1.0233, 1.01467, 1.00108, 0.987111, 0.973523, 1.05714, 1.0532,
1.00246, 1.03235, 1.03767, 1.02859, 1.01442, 1.00014, 0.986279, 0.972752,
1.0103, 1.03472, 1.0254, 1.0115, 0.996514, 0.981991, 0.967885,
1.09054, 1.01588, 1.01376, 1.00463, 0.993723, 0.982948,
1.29744, 1.18131, 1.05684, 1.04244, 1.0266,
1.13592, 1.06872, 1.00219, 0.944664,
1.06885, 1.02755, 0.987509,
0.988902, 0.970014,
0.920225,
paper4,
0.991511, 1.02937, 1.03899, 1.03248, 1.01869, 1.00374, 0.989223, 1.07311, 1.06828,
1.00433, 1.04227, 1.05105, 1.04398, 1.03142, 1.01714, 1.00325, 0.98973,
1.01887, 1.05514, 1.06399, 1.05737, 1.04405, 1.02994, 1.01622,
1.0991, 1.02935, 1.02813, 1.01944, 1.00766, 0.996045,
1.14792, 1.0696, 0.990587, 0.982747, 0.974145,
1.13888, 1.07133, 1.00612, 0.947587,
1.0728, 1.031, 0.990365,
0.989655, 0.970915,
0.920721,
paper5,
0.99681, 0.985389, 0.996665, 0.994271, 0.982746, 0.972087, 0.961309, 1.02595, 1.02283,
1.01303, 1.0604, 1.07858, 1.07296, 1.06183, 1.04908, 1.03433, 1.01999,
1.02794, 1.07763, 1.09233, 1.0873, 1.07511, 1.0617, 1.04701,
1.11544, 1.06364, 1.06639, 1.05897, 1.04612, 1.03337,
1.15602, 1.09315, 1.02053, 1.01319, 1.00369,
1.13705, 1.07702, 1.01632, 0.961783,
1.06456, 1.0246, 0.985399,
0.995379, 0.975071,
0.928718,
paper6,
0.995666, 1.04621, 1.06136, 1.05561, 1.0447, 1.0301, 1.01514, 1.09392, 1.08812,
1.01958, 1.07764, 1.09955, 1.09551, 1.08409, 1.06832, 1.05274, 1.03744,
1.03524, 1.08801, 1.10512, 1.09992, 1.0874, 1.0719, 1.05656,
1.124, 1.04508, 1.05152, 1.04103, 1.02843, 1.01622,
1.16659, 1.10335, 1.03329, 1.02511, 1.01529,
1.15774, 1.09987, 1.0388, 0.979953,
1.09537, 1.057, 1.01708,
0.995487, 0.976454,
0.92998,
pic,
1.0037, 1.10596, 2.61293, 3.14912, 1.22988, 1.27293, 1.26991, 1.29516, 1.29251,
1.0223, 1.11923, 1.18602, 3.49558, 1.23642, 1.27974, 1.27647, 1.27078,
1.0417, 1.13305, 1.19636, 3.02385, 1.24344, 1.28677, 1.28328,
1.17176, 1.14732, 1.20705, 3.22263, 1.25075, 1.2944,
1.33902, 1.29059, 1.21802, 3.59379, 1.25824,
1.56203, 1.47481, 3.53075, 3.94954,
1.87419, 1.72042, 3.86766,
2.34229, 2.06421,
3.1221,
progc,
1.01489, 1.08765, 1.11915, 1.11939, 1.11243, 1.09499, 1.07724, 1.16047, 1.15237,
1.04233, 1.12893, 1.17493, 1.17881, 1.17001, 1.15154, 1.13299, 1.11488,
1.01463, 1.0402, 1.03392, 1.02647, 1.01307, 0.99884, 0.98473,
1.14841, 1.1441, 1.17448, 1.17336, 1.16265, 1.14714,
1.1503, 1.1143, 1.05856, 1.05326, 1.04529,
1.10115, 1.0591, 1.01174, 0.974746,
1.05512, 1.02338, 0.990897,
1.00624, 0.987664,
0.965154,
progl,
0.981208, 1.01769, 1.02461, 1.01916, 1.02096, 1.01359, 1.00026, 1.07359, 1.0693,
1.05279, 1.1603, 1.22788, 1.24689, 1.24493, 1.22793, 1.21082, 1.1909,
1.08393, 1.04455, 1.06803, 1.05782, 1.04663, 1.03569, 1.02143,
1.18757, 1.05948, 1.08307, 1.0721, 1.06063, 1.04872,
1.21533, 1.19115, 1.09866, 1.08691, 1.0748,
1.16593, 1.36063, 1.23539, 1.10241,
1.11376, 1.58659, 1.41148,
1.06142, 1.90237,
1.02139,
progp,
1.04496, 1.17402, 1.26528, 1.29205, 1.28621, 1.26472, 1.24031, 1.33028, 1.31622,
1.01229, 1.06022, 1.09071, 1.08721, 1.07151, 1.06267, 1.04772, 1.03288,
1.11309, 1.25564, 1.35443, 1.3842, 1.37843, 1.35306, 1.32664,
1.18983, 1.22451, 1.13195, 1.11894, 1.10794, 1.0924,
1.21141, 1.20905, 1.17375, 1.17282, 1.16195,
1.1624, 1.1399, 1.08802, 1.04533,
1.10707, 1.08276, 1.04838,
1.05579, 1.03992,
1.02791,
trans,
1.00712, 1.04022, 1.04746, 1.04603, 1.03525, 1.03148, 1.02221, 1.12694, 1.128,
1.07866, 1.05826, 1.0659, 1.06316, 1.05265, 1.04693, 1.03819, 1.02275,
1.10501, 1.19626, 1.24222, 1.25059, 1.23758, 1.21789, 1.19636,
1.17529, 1.17107, 1.204, 1.20378, 1.19145, 1.17311,
1.34431, 1.23412, 1.12351, 1.11873, 1.11259,
1.16514, 1.13111, 1.09293, 1.04114,
1.10039, 1.07808, 1.04923,
1.01545, 1.00239,
0.975036,
